timestamp,action,pair,price,ratio,quote_currency
2025-04-26 16:08:41,BUY,KRW-DOGE,262.0,0.07,KRW
2025-04-26 16:20:39,BUY,KRW-DOGE,262.0,0.07,KRW
2025-04-26 23:44:40,BUY,KRW-DOGE,262.0,0.07,KRW
2025-04-27 01:20:37,BUY,KRW-DOGE,262.0,0.07,KRW
2025-04-27 04:14:33,BUY,KRW-DOGE,259.0,0.1,KRW
2025-04-27 12:35:42,BUY,KRW-DOGE,259.0,0.1,KRW
2025-04-27 12:44:37,BUY,KRW-DOGE,259.0,0.1,KRW
2025-04-27 18:44:49,SELL,KRW-DOGE,262.0,30.0,KRW
2025-04-27 19:11:41,SELL,KRW-DOGE,262.0,30.0,KRW
2025-04-28 01:24:01,BUY,KRW-DOGE,253.0,0.15,KRW
2025-04-28 01:35:42,BUY,KRW-DOGE,252.0,0.17,KRW
2025-04-28 09:53:59,BUY,KRW-DOGE,261.0,0.07,KRW
2025-04-28 15:38:35,BUY,KRW-DOGE,252.0,0.17,KRW
2025-04-29 12:05:59,BUY,KRW-DOGE,257.0,0.11,KRW
2025-04-29 15:59:44,BUY,KRW-DOGE,256.0,0.12,KRW
2025-04-29 21:23:54,BUY,KRW-DOGE,252.0,0.17,KRW
2025-04-29 21:33:09,BUY,KRW-DOGE,252.0,0.17,KRW
2025-04-30 05:44:53,BUY,KRW-DOGE,252.0,0.17,KRW
2025-04-30 12:42:06,BUY,KRW-DOGE,248.0,0.21,KRW
2025-04-30 12:48:12,BUY,KRW-DOGE,247.0,0.22,KRW
2025-04-30 20:14:58,SELL,KRW-DOGE,252.0,28.7,KRW
2025-04-30 20:29:56,SELL,KRW-DOGE,252.0,28.7,KRW
2025-05-01 06:21:13,BUY,KRW-DOGE,252.0,0.17,KRW
2025-05-02 16:07:17,SELL,KRW-DOGE,262.0,29.7,KRW
2025-05-03 04:25:07,SELL,KRW-DOGE,258.0,29.3,KRW
2025-05-03 20:37:37,BUY,KRW-DOGE,253.0,0.15,KRW
2025-05-04 02:49:36,BUY,KRW-DOGE,252.0,0.17,KRW
2025-05-05 01:34:00,BUY,KRW-DOGE,242.0,0.27,KRW
2025-05-05 10:18:38,BUY,KRW-DOGE,244.0,0.25,KRW
2025-05-05 10:48:54,BUY,KRW-DOGE,242.0,0.27,KRW
2025-05-05 13:26:02,SELL,KRW-DOGE,243.0,27.8,KRW
2025-05-05 14:00:23,SELL,KRW-DOGE,243.0,27.8,KRW
2025-05-05 16:39:23,SELL,KRW-DOGE,243.0,27.8,KRW
2025-05-05 20:12:31,BUY,KRW-DOGE,241.0,0.28,KRW
2025-05-06 01:51:58,BUY,KRW-DOGE,241.0,0.28,KRW
2025-05-06 03:39:34,SELL,KRW-DOGE,242.0,27.7,KRW
2025-05-06 17:52:01,BUY,KRW-DOGE,238.0,0.3,KRW
2025-05-06 18:09:54,BUY,KRW-DOGE,237.0,0.32,KRW
2025-05-06 19:39:45,BUY,KRW-DOGE,239.0,0.3,KRW
2025-05-06 20:00:36,BUY,KRW-DOGE,239.0,0.3,KRW
2025-05-07 03:20:55,BUY,KRW-DOGE,241.0,0.28,KRW
2025-05-07 05:31:00,BUY,KRW-DOGE,244.0,0.25,KRW
2025-05-07 05:40:13,BUY,KRW-DOGE,243.0,0.26,KRW
2025-05-07 09:15:27,BUY,KRW-DOGE,245.0,0.24,KRW
2025-05-07 11:54:30,SELL,KRW-DOGE,246.0,28.1,KRW
2025-05-07 17:54:48,BUY,KRW-DOGE,242.0,0.26,KRW
2025-05-07 18:15:39,BUY,KRW-DOGE,241.0,0.28,KRW
2025-05-07 21:31:39,SELL,KRW-DOGE,245.0,28.0,KRW
2025-05-07 21:49:16,SELL,KRW-DOGE,245.0,28.0,KRW
2025-05-08 04:30:41,SELL,KRW-DOGE,257.0,28.1,KRW
2025-05-08 23:49:33,SELL,KRW-DOGE,278.0,30.2,KRW
2025-05-09 00:25:20,BUY,KRW-DOGE,273.0,0.01,KRW
2025-05-09 00:40:28,BUY,KRW-DOGE,273.0,0.01,KRW
2025-05-09 07:10:50,SELL,KRW-DOGE,280.0,30.4,KRW
2025-05-09 07:40:02,SELL,KRW-DOGE,289.0,31.3,KRW
2025-05-09 07:49:19,SELL,KRW-DOGE,292.0,31.6,KRW
2025-05-09 08:24:05,SELL,KRW-DOGE,294.0,31.8,KRW
2025-05-09 14:28:29,BUY,KRW-DOGE,285.0,0.01,KRW
2025-05-09 22:04:25,BUY,KRW-DOGE,286.0,0.01,KRW
2025-05-10 00:10:17,SELL,KRW-DOGE,290.0,31.4,KRW
2025-05-10 00:19:28,SELL,KRW-DOGE,291.0,31.5,KRW
2025-05-10 06:01:47,SELL,KRW-DOGE,304.0,32.8,KRW
